,condition,date,description,engine hours (total),id,length overall (LOA),make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
48,excellent,2016-11-16 12:00,"This is a 2004 22' Starcraft Aurora 2210 fiberglass deck boat with 220 HP Mercury Mercruiser Sterndrive motor.  It is lightly used and great for water sports, cruising, or just lounging.  It is in excellent condition with under 100 hours of use. Bimini top with boat covers for bow and stern, space for a port-a-potty, built-in removable cooler, sink and shower sprayer with water tank, bow filler with matching cushions - great for suntanning, snap-in carpet throughout, upgraded marine Clarion AM/FM radio and CD player with six speakers.  All in great condition.  Deluxe Starcraft ESL trailer included with tandem axle and tires.",100,5837071423,22,,,,$11000,power, (Bethlehem),"`Starcraft Aurora *2210*with ""220 HP' Mercury""",https://scranton.craigslist.org/boa/5837071423.html,
49,good,2016-11-16 10:01,"19 ft Tahoe Q5 for sale. Low hours, strong engine, all seating but captains chairs recently refurbished.",,5878965133,19,Tahoe,,Q5,$4500,power," (Greenfield Twp, PA)",1999 Tahoe Q5,https://scranton.craigslist.org/boa/5878965133.html,1999
50,good,2016-11-16 06:30,"This boat is a Landau fishing boat semi v alum. hull with a 35hp mercury auto oil injection outboard motor two live wells one air rated two fish finders 35 lb thrust front mounted electric trolling motor with a load rite trailer this boat has been stored for several years ,sold as is.Asking 2500 or best offer.",,5878767466,16,Landau,"https://maps.google.com/maps/preview/@41.366500,-75.836200,16z",,$2000,power, (Pittston pa.),landau fishing boat,https://scranton.craigslist.org/boa/5878767466.html,1986
51,like new,2016-11-15 20:55,"Lightly used 2012 Key West skiff. Only 40 hours on the Yamaha F70, with warranty until 3/25/2017. Console and cooler seat cover, Bimini top, spare tire, stainless steel hand rail, fish finder, boat guides, boat board guide ons, winter cover, easy troller. Price: 16,900 Call show contact info",40,5878465215,17,Key West,,177,$16900,power, (Wilkes Barre),Key West Skiff 177,https://scranton.craigslist.org/boa/5878465215.html,2012
52,fair,2016-11-15 15:57,"I'm selling this because I just don't have the time to fix it up anymore since starting a new job. The boat just needs some finishing up. I've done most of the wood work,  just need to put some back on, I  have almost everything to finish it. There's a 5.0 mercury in/out board, hot water heater, 100 gal gas tank, toilet, stove, fridge, 2 sinks, 3 places to sleep. There isn't any major work needed, just a lot of small stuff. It comes with the trailer which is worth 2500 alone.  Like I said I just don't have the time and I need cash, thank you.",10000,5878054399,27,Sea ray,,Sundancee,$3300,power, (Zion Grove),27 ft. Sea Ray Sundancer & galvanized trailer,https://scranton.craigslist.org/boa/5878054399.html,1987
53,like new,2016-11-15 12:32,"Old Town Vapor 10 Angler Kayak - Camo Brand: Old Town Type: Fishing Body type: Solid Rider position: Sit‑inside Number of riders: 1 Person Length: 10 feet Cruise your favorite fishin hole with Old Towns Vapor 10 Angler Kayak. Roomy cockpit, two flush-mounted rod holders and stability-focused hull deliver angler-tuned backwater performance. Easy-to-use anchor trolley system. Adjustable padded Comfort Flex seat is contoured to fight fatigue, plus thigh pads keep you fishing all day in comfort. Molded-in cockpit dashboard and cup holder for convenience. Secure gear while keeping it easily accessible in the stern day well and deck bungee. Adjustable Glide Track foot-brace system. Skid plate allows you to navigate shallow water where the big fish hide in confidence. Molded-in paddle rests. Integrated carry handles. Drain plug. Length: 10 ft. Wt: 44 lbs. Wt. capacity: 275-325 lbs. Colors: Urban Camo, Brown Camo. The kayak is less then a season old and un like new condition. Only reason im selling is I want a sit on top. I will also include a paddle. Paid $600 for just the kayak 9 months ago. You can contact me at five seven zero nine five one six nine three five. Thabks for looking Chad.",,5877674005,10,Old town,https://maps.google.com/?q=loc%3A+%35%31%38+west+front+street+Berwick+PA+US,Angler,$350,human, (Berwick),Old Town Vapor angler kayak w/paddle,https://scranton.craigslist.org/boa/5877674005.html,2015
54,like new,2016-11-15 02:30,1993 aluminum lowe bass boat with a johnson 9.9 runs great needs nothing will trade for bigger family boat.,,5877119832,17,lowe,,,$3500,power, (Nanticoke),93 lowe bass boat,https://scranton.craigslist.org/boa/5877119832.html,1993
55,good,2016-11-14 19:51,1996 Kawasaki TS jetski Runs great Used all summer Got a boat for the kid Text for pictures they won't load on here.,200,5876796415,9,Kawasaki,,TS jetski,$550,power, (Sugar notch),Kawasaki ts jetski,https://scranton.craigslist.org/boa/5876796415.html,1996
56,,2016-11-14 19:00,"Antique wooden boat with Crosley 4 cylinder outboard motor. Needs Restoration. Removal at buyers expense. Mt. Cobb, PA. Jim show contact info",,5876729392,17,,,,$500,power, (Mt. Cobb),17' Antique Wooden Boat Crosley Motor,https://scranton.craigslist.org/boa/5876729392.html,
57,good,2016-11-14 18:09,1970s rally sport hull with trailer Chevy 427 big block motor with all bolt ons. Had boat 2 summers now. Runs perfect new over sized batter. Has pace diverter to throw water in the air. Radio got wet and doesnt work. Trailer has newer tires. Willing to trade for car of same value. Also have 06 zx6r for combo trade.,,5876655610,16,Rally sport,https://maps.google.com/?q=loc%3A+Cherry+Laport+PA+US,,$4500,power,,Rally Sport jet boat,https://scranton.craigslist.org/boa/5876655610.html,1974
58,,2016-11-13 19:36,2002 Crestliner Bass Boat 40hp Yamaha Motor Foot pedal controlled trolling motor live well storage collapsible canopy depth finder and fish finder removable casting seats on board battery charger radio/cd player with removable face speaker system Automatic bilge Full cover included Trailer included Runs great,,5875134407,16,,"https://maps.google.com/maps/preview/@41.248628,-75.862935,16z",,$7500,power,,Bass Fishing Boat 16',https://scranton.craigslist.org/boa/5875134407.html,
59,good,2016-11-13 15:49,"1988 bayliner 2.3 ford. lots of new parts including spark plugs, coil pack, water separation filter. Got started once but now it won't start. Suspected problem with carburetor. Interior is in great shape for the age. Extra cushion on back to keep good cushion from getting ripped while boarding/unboarding. Comes with unopened life vests, extra prop, buoys, anchor, rope, fish finder and audio system Trailer is in excellent condition. Just re-wired lights and new tires with full tread. Non rotted spare included.",,5874838909,17,Bayliner,,Capri,$3000,power, (Springbrook pa),1988 Bayliner with trailer,https://scranton.craigslist.org/boa/5874838909.html,1988
60,good,2016-11-13 10:08,"1200R yamaha jet ski, very fast. Needs some work.",,5874330438,110,Yamaha,,1200R,$1200,power,,2000 yamaha 1200R jet ski with double trailer,https://scranton.craigslist.org/boa/5874330438.html,2000
61,new,2016-11-13 10:01,"Kick your heavy and burdensome docks to the curb.  Leave the heavy lifting to your neighbors! Up for sale are new aluminum frame docks. This is quite simply the best dock for the money. If you choose another dock, you'll either get a lot less or pay a lot more (or both). Features: *Fully welded aluminum frame with welded in leg holders make for an extremely rigid dock - no more dock wobble! *Extruded frame side rails feature a track system - bolt on any accessory anywhere you want -bumpers, ladders, anchor posts, mooring whips, flags, etc. *Tip-In System allows you to install and remove the dock without ever getting wet. *Standard install system features quick-connect clips with infinite placement options. *Recessed decking makes for a clean look and keeps your decking right where you want it. *Comes standard with cedar decking, also available with poly panels and timber tech. $595 per section standard Cottage Style Dock, $665 per section Tip-In Dock. We will match any price on any comparable dock. For more info, go to www.bmp-inc.com",,5863616257,8,,,,$595,human,,New Easy Install Boat Docks,https://scranton.craigslist.org/bod/5863616257.html,
62,good,2016-11-13 08:53,"2003 Yamaha 50HP  4 Stroke outboard, new motor trade. Winterized and stored. Well maintained, serviced, with controls included.  Power tilt and trim electric start.",0,5854530341,50,Yamaha,https://maps.google.com/?q=loc%3A+Hamlin+Highway+at+C%2EBidwell+Road+Lake+Ariel+PA+US,T50TLRL,$3250,power, (Lake Ariel),Used Outboard,https://scranton.craigslist.org/bod/5854530341.html,2003
63,like new,2016-11-13 08:51,"2013 Suzuki 20HP 4 Stroke, very low hours! New motor trade-in. Serviced and ready to go. Dealer 60 Day warranty available.",,5854503707,20,Suzuki,https://maps.google.com/?q=loc%3A+Hamlin+Highway+at+C%2E+Bidwell+Road+Lake+Ariel+PA+US,Four Stroke,$3625,power, (lake Ariel),Used Outboard,https://scranton.craigslist.org/bod/5854503707.html,2013
64,excellent,2016-11-12 20:21,Minimally used Old Town Discovery 164 with two paddles and two seats included.,,5873857406,164,Old Town,"https://maps.google.com/maps/preview/@41.319700,-75.854100,16z",Discovery,$975,human, (Wyoming),Canoe - Old Town Discovery 164,https://scranton.craigslist.org/boa/5873857406.html,1998
65,,2016-11-12 13:16,14 foot aluminum sea nymph with trolling motor & trailer. Boat is in very good condition. Trailer has new tires & rims. Have title. Maybe trade for ATV .,,5831938943,14,,"https://maps.google.com/maps/preview/@41.322800,-74.882400,16z",,$1200,power,,"14 foot aluminum boat, motor&trailer",https://scranton.craigslist.org/boa/5831938943.html,
66,,2016-11-12 12:27,"1988 Stratos 201-Pro 21 foot, Single console 1988 200hp Mariner oil injected. Engine rebuilt with approx. 30 hours, lower end was replaced with a 1993 Mercury unit last summer New water pump Motorguide EF76V 76lb thrust with dual trolling motor batteries Single crank battery Bass Pro Shops 3 bank charger Humminbird Helix5 DI Trolling motor mounted, Ram Mount Lowrance Elite-5 Bow or console mount Ram Mount Humminbird Wide panorama and Humminbird 400TX units with console mount. Dual live wells Dual bilge pumps. In line spin-on fuel filter/separator Dual fuel tanks with selector Blue Water LED deck lights (blue) LED trailer marker and taillight with reverse lights Surge trailer brakes Dual axle Stratos Trail trailer Wheels refinished with black bed liner paint. Comes with all required safety gear and 4 life jackets I have titles for both the boat and trailer $5500.00 negotiable",,5873089702,21,Stratos,"https://maps.google.com/maps/preview/@41.435000,-75.610300,16z",201-PRO,$5500,power,,1988 Stratos 201-Pro 21 foot,https://scranton.craigslist.org/boa/5873089702.html,1988
67,like new,2016-11-12 11:32,"For Sale 2014 22' Suntracker Fishin Barge DLX w/ trailer. Like new, only used roughly 20 hrs (we bought new Fall of 2014). Comes with 3 season cover and winter cover. Plenty of storage plus a changing room (we added a porta-potty for the kids). Large canopy for shade, seats up to 10 people. 60 hp Murcury outboard, serviced annually by the dealer. Boat is currently winterized with the Winter cover installed.",20,5873056306,22,Suntracker,,Fishing Barge DLX,$22500,power," (Laceyville, Pa)",22' Suntracker Fishin Barge DLX Pontoon Boat,https://scranton.craigslist.org/boa/5873056306.html,2014
68,good,2016-11-12 11:20,12 ft Sylvan aluminum boat on heavy duty sea lion trailer. 2 removable swivel cushion seats. New tires . registration good to 2018 . titles in hand.,,5828564816,12,Sylvan,,,$1000,power, (Jermyn),Sylvan boat and sea lion trailer,https://scranton.craigslist.org/boa/5828564816.html,
69,,2016-11-12 07:56,"1991 Bayliner 20ft. Trophy Walk Around 150 Horsepower motor Full enclosure cuddy , escort trailer, garage kept, excellent condition, used very little. $6500.00 call show contact info",,5826985092,20,,"https://maps.google.com/maps/preview/@41.439500,-75.431300,16z",,$6500,power, (Jefferson Twp.),1991 Bayliner 20ft. Trophy Walk around,https://scranton.craigslist.org/boa/5826985092.html,
70,,2016-11-11 20:51,14' BOAT AND TRAILER,,5872389017,14,,"https://maps.google.com/maps/preview/@41.743268,-75.459423,16z",,$1500,power,,BOAT AND TRAILER,https://scranton.craigslist.org/boa/5872389017.html,
71,good,2016-11-11 18:23,"Selling a 14ft sea nymph aluminum voat with trailer. The trailer folds so that loading and unloading is very easy. Included with this is a spare tire, 2 wooden orrs, 2 batteries, a brand new never used seat, and a small trolling motor. I do have the title and tags. Asking $1500 or best offer.",0,5872185842,0,,"https://maps.google.com/maps/preview/@41.355400,-75.680500,16z",,$1200,human, (Moosic),14ft aluminum sea nymph boat w/ trailer,https://scranton.craigslist.org/boa/5872185842.html,
72,,2016-11-10 10:16,"This boat is a 2002 Chaparral SS 180. 18 feet long, 3.0 Volvo Penta, only 300 hours, new covers including a full cover and a bimini top.",300,5869797168,18,Chaparral,"https://maps.google.com/maps/preview/@41.066500,-76.244300,16z",SS 180,$10000,power, (Berwick PA),2002 Chaparral SS 180,https://scranton.craigslist.org/boa/5869797168.html,2002
73,good,2016-11-10 10:08,"1988 Bayliner 2855 Ciera, 28-1/2' L, 350 engine, OMC Cobra stern drive, sleeps 6, Aft cabin, inverter, battery charger, head w/ shower, microwave, refrig, stove, mant extras, Loadmaster 19'-31' 10,000 lb, tri-axle trailer w/ disc brakes.",125,5869784294,28,Bayliner,https://maps.google.com/?q=loc%3A+State+Route+%35%33%34+White+Haven+PA+US,2855 Ciera,$5500,power," (White Haven, Pa.)",1988 Bayliner 2855 Ciera,https://scranton.craigslist.org/boa/5869784294.html,1988
74,like new,2016-11-10 07:07,"Beautiful 18 ft bowrider.  Excellent condition always garaged.  ONLY 256 hours on 4.3 V6 with Alpha 1 outdrive.  excellent upholstery, includes mooring and travel covers, fenders, anchor, life jackets, ropes, etc.  recent battery and tuneup.  Shorelander trailer with very good tires, hydraulic brakes, also in excellent condition. $8500.  call or text show contact info",256,5842255851,18,Regal,"https://maps.google.com/maps/preview/@41.048500,-75.534300,16z",1800,$8500,power, (blakeslee),2005 Regal 1800 18 ft bowrider I/O,https://scranton.craigslist.org/boa/5842255851.html,2005
75,good,2016-11-10 01:54,"With some melancholy feelings attached, I have reluctantly decided to sell my Pumpkin Seed sailboat... a racing scow. I have owned her for 3 years but have never put her in the water. She needs a little bit of restorative work on the hull... namely, some wood repairs around the aft end of the lee board carriers and she really deserves to have the old school clear fiberglass coating over the entire hull stripped and redone due to crazing in the surface. She will look like a Boulevard boat when finished. Handbuilt of cedar strip and steam bent marine plywood in 1966 and garage stored for 40 years without sailing her by the previous owner. She comes with two sets of sails.. heavy and light air. She also comes with an extra set of spars including a mast and boom.  LOW 14.5 ft. Beam 5 ft. This sailboat has a pair of lee boards that slide through the hull protruding downward and slightly outward on each side. They pivot for adjustment as well as to bring them up into the hull. So there is no keel, dagger board or centerboard. Trailer shown under her was temporary and now gone. Have another sailboat trailer with mast cribbing built in but needs some hull cribbing modification to accommodate this boat for travelling that wouldn't damage the hull. I can probably do this if someone really wants the trailer along with the boat. I am asking $1600 for the sailboat and all accoutrement. The trailer can be had for $150 but I don't have any registration title for it. Never did. Sold to me in NJ with no title. #sailboat #woodenboat #vintageboat #woodensailboat Six, one, zero   3, four, nine   5, 1, zero, nine will get you more answers.",,5828850527,15,,"https://maps.google.com/maps/preview/@40.576619,-75.526598,16z",Pumpkin Seed,$1600,sail, (Allentown),Sailboat/Handbuilt/Pumpkin Seed/ Racing Scow,https://scranton.craigslist.org/boa/5828850527.html,1966
76,good,2016-11-09 22:30,"The boat has been very well cared for during it's life, It's always been detailed twice a year at least and washed down/flushed after every use. The boat has been serviced every 100hrs as per Volvo guidelines or once a year whichever is sooner, Since purchase we have completed the following preventative maintenance;1. Both Carbs rebuilt/balanced 2. Exhaust headers replaced, 3. Valve job on both motors, 4. Water pumps, T stat on both, 5. Plugs, Leads, Cap, Rotor on both motors, 6. New belts on both motors, 7. New starter Motors, 8. New batteries, 9. New battery charger, 10. New drain outlets, 11. New bilge pumps, 12. New Garmin GPS, 13. New power toilet, 14. Custom Metal T top, 15. Custom fitted storage cover (never used) 16. New CD player plus speakers, 17. New exhaust bellows and intake bellows, 18. New gimbal bearings on both motors, 19. Dual stainless counter rotate props (original ones included brand new!!) 20. Full set of cabin mats included never been used",,5869312262,27,,,,$10800,power,,`Very Clean 2000 Regal 565011/2760 2x volvo GL!!,https://scranton.craigslist.org/boa/5869312262.html,
77,,2016-11-09 17:24,"1987 16' Starcraft Boat. 70 HP Johnson motor. Comes with life jackets, oars, original manuals. Trailer tires and rims are brand new. Triple hull (doesn't rock when standing). Garage kept. $1200 Firm...",,5839184732,16,,"https://maps.google.com/maps/preview/@41.652300,-75.531300,16z",,$1200,power,,1987 Starcraft,https://scranton.craigslist.org/boa/5839184732.html,
78,new,2016-11-09 15:30,"I Purchased  June 3, 2016 for my grand kids for use in my pond, turned out pond to small for paddle boat to have use for the grand kids to have fun. I paid $ 423.99 plus $ 35.00 for cover. I used only twice I know I won't get  what I paid for boat,and I will have to take a lost for two times I used it.I paid a total of $ 458.99. I will sell for loss.   firm $ 350.00",0,5868824943,244,K/L,"https://maps.google.com/maps/preview/@41.467700,-75.601500,16z",Sun Dofphin,$350,human, (scott township),brand new paddle Sun Dolphin,https://scranton.craigslist.org/boa/5868824943.html,2016
79,,2016-11-09 13:59,"1995 Grumann 14ft Aluminum boat, deep V. Comes with 8hp long shaft Johnson 2-stroke motor that runs great, new gas tank and gas line quick disconnect, rod holders, anchor, ropes, etc. Trailer is included but title can not be located. Title in hand for boat. Call or text - i dont look at emails often ***I reduced the price to sell this week or it will be winterized and stored until spring!***",,5833150265,14,,,,$750,power, (Scranton Area),14ft aluminum Deep V 8hp boat. TRADES?,https://scranton.craigslist.org/boa/5833150265.html,
80,,2016-11-09 11:19,Looking to sale my boat. Runs grate had it out on the water just 2 weeks ago. For more information please text me show contact info Asking g 8000 obo,,5868376271,17,,"https://maps.google.com/maps/preview/@40.816700,-76.203500,16z",,$8000,power, (Shenandoah),89 sunbird,https://scranton.craigslist.org/boa/5868376271.html,
81,,2016-11-09 10:30,1999 seadoo xp limited jetski for sale. Comes with 2011 loadrite trailer. Clean titles for both. Also comes with brand new battery and two brand new life jackets worth 300 all together. Runs great with no issues except the adjustable trim doesn't work so it is mounted in neutral position. It is currently winterized and covered inside. Only selling because I don't use it enough. Asking 2500 call or text show contact info,,5868292832,9,seadoo,,xp limited,$2500,power, (hawley),99 seadoo xp limited jetski,https://scranton.craigslist.org/boa/5868292832.html,1999
82,excellent,2016-11-09 08:42,"Macgregor 25 Sailboat, and Trailer. The boat is in excellent condition and is ready to sail. She includes Edson Wheel Steering, Newer Honda 8hp long-shaft outboard, Lewmar self-tailing winches, Harken Roller Furler, Lazy Jack system, enclosed head, VHF Radio, Depth Finder, Electric Keel-Raising winch, brand new Dual Battery system with isolated house and engine sides, dual battery test indicator, and solar panel. The boat includes everything you need to hit the water including custom mast raising system to allow single handed mast raising from the cockpit or from the trailer winch. Sails, lines and rigging are in great condition. The boat features a swing keel to allow shoal draft and excellent stability and tracking. This boat is a very rare find and at this price and one of a kind. The vessel has been meticulously cared for and equipped with features that you'd only find on much larger, and more expensive sailboats. https://youtu.be/vUa2Q0yOUr0",,5868151801,25,Macgregor,,25,$6000,sail, (Lake Wallenpaupack),Macgregor 25 Sailboat,https://scranton.craigslist.org/boa/5868151801.html,1984
83,like new,2016-11-09 05:41,"2015 G3 1656 60/40 Yamaha jet, g3 is complete ready to fish. New seal skin cover.Boat in New condition less than 3 tanks of gas run thru it, garage kept. Call or text. No email please. Thanks Frank.. more photos upon request..",12,5850979179,16,Generation 3,"https://maps.google.com/maps/preview/@41.604100,-76.259800,16z",G3 1656,$19500,power, (Sugar Run),2015 G3 1656ccj jet boat..,https://scranton.craigslist.org/boa/5850979179.html,2015
84,excellent,2016-11-08 09:33,"Very good condition.  Powered by Yamaha 225 Four Stroke outboard. Approximately 400 hours.  New Garmin 1040 GPS with 10"" screen, Stereo, Compass, VHF Radio.  T top, Leaning Post with backrest, outriggers, bow cushions , bow mounted anchor, two batteries with Perko switch, washdown, trim tabs, porta potti, helm enclosure, custom storage cover.  Cradle kept and washed down after each use.",400,5866743444,24,Sailfish,"https://maps.google.com/maps/preview/@26.824000,-81.954700,16z",236CC,$29750,power," (Punta Gorda, FL)",2005 Sailfish 236 CC,https://scranton.craigslist.org/boa/5866743444.html,2005
85,new,2016-11-08 08:36,"Powered by Yamaha 115 h.p. outboard.  25"" triple tube package, lifting strakes, hydraulic steering, 35 gal. fuel tank, Sony BT stereo w/4 speakers, depth/fish finder, mates chair, complete seagrass flooring, cooler, ski tow bar.  Call for further information.",,5866672437,22,Sweetwater,"https://maps.google.com/maps/preview/@41.439500,-75.431300,16z",2286 SLC,,power,,2016 Sweetwater 2286 SLC,https://scranton.craigslist.org/bod/5866672437.html,2016
86,,2016-11-07 23:48,16 foot pelican canoe with 2 oars.  Make offer,,5866433505,16,,"https://maps.google.com/maps/preview/@41.732200,-75.398900,16z",,,human,,Pelican 16 foot canoe,https://scranton.craigslist.org/boa/5866433505.html,
87,,2016-11-07 17:59,"1989 Ranger 361 Bass Boat - Full Tournament Package 18 foot v hull comanchee Tuck and roll wrap seats Full Deck Extension Customer cover Full instrumentation: speedometer, tachometer, trim gauge Hot foot throttle with hand control lso Flush mount controls Rear trim switch Anchor rein Large heavy duty bilge pump Auto bilge pump Power pole seat with extra seat Deluxe custom hand rails Two extra livewell pumps built-in with separate switches (four pumps) 3 heavy duty batteries 3 battery trays Floor trim for tackle boxes Tackle box tie down straps Rod tie down straps Deluxe trailer tie down straps Fire extinguisher Suzuki 150 hp Super Six Motor Stainless steel prop Ranger custom set back plate Stainless steel top and bottom transom plates Stainless steel motor toter Brute 765 motorguide pro competition series foot control with dura-amp Custom Stainless steel deck plate mount Super boomer hold down strap 2nd trolling motor 85 lb thrust included Hummingbird electronics: 4x6 graph with temp gauge; ID-1 Ranger Trail deluxe trailer with custom mags Trailer disc brakes Spare tire with full hub assembly Protecta jack cover Extra winch included All of the above - $7500",,5866055564,18,Ranger,,361 Bass Boat,$7500,power,,1989 Ranger 361 Bass Boat,https://scranton.craigslist.org/boa/5866055564.html,1989
88,excellent,2016-11-07 15:57,All you need is a fishing license. Boat and trailer with built in storage and live well. Also has a 9.9hp 2stroke outboard and 55lb thrust 12 volt electric trolling motor and fish finder. all paper work in proper order.,,5865849805,14,,"https://maps.google.com/maps/preview/@41.317500,-75.788500,16z",,$2500,power, (pittston),14ft fishing boat,https://scranton.craigslist.org/boa/5865849805.html,
89,,2016-11-07 13:41,"I have a Kawasaki 650sx for sale. Has paperwork, needs rebuild. Has west coast exhaust and after markets carbs. $1000 obo. Call or text 631 nine 02-1788",,5865587847,10,,"https://maps.google.com/maps/preview/@41.343200,-75.530100,16z",,$1000,power,,Kawasaki 650sx,https://scranton.craigslist.org/boa/5865587847.html,
90,,2016-11-07 13:15,2 1994 Yamaha 650 jets skis and trailer have titles for everything ran when parked four years ago.   Don't wanna store for winter so first 500 gets them and trailer text show contact info,,5865533397,9,,"https://maps.google.com/maps/preview/@41.359200,-76.045100,16z",,$500,power, (Harveys lake),2 Yamaha 650 jets skis and trailer,https://scranton.craigslist.org/boa/5865533397.html,
91,good,2016-11-06 20:47,up for sale is a 12ft aluminum lowe sea nymph semi v-hull comes with like new minn kota 40lbs thrush electric trolling motor 2 new life vests and 2 concret milk jug anchors the boat is registered and comes with bill of sale never been titled but can be the paint is chipping in the inside,,5821516699,12,,"https://maps.google.com/maps/preview/@41.306600,-76.133900,16z",,$400,power, (sweet valley),12ft aluminum boat,https://scranton.craigslist.org/boa/5821516699.html,
92,excellent,2016-11-06 19:56,"1995 698 ZP Stingray Boat with aluminum trailer for sale.  Cuddy cabin with stove, sink & spot for portable potty.  Excellent condition with 454 high performance motor. Must see to appreciate.  Asking $16,000.00 or best offer",,5864577257,23,Stingray,"https://maps.google.com/maps/preview/@41.135000,-75.937600,16z",698ZP,$16000,power,,1995 Stingray 698ZP For Sale,https://scranton.craigslist.org/boa/5864577257.html,1995
93,,2016-11-06 16:03,Mariner 25E hp pull start and electric start. Fires right up. $1700 OBO or trade?,,5864291121,12,,"https://maps.google.com/maps/preview/@41.466700,-75.856000,16z",,$1700,power, (Falls),Mariner 25E hp boat engine for sale or trade,https://scranton.craigslist.org/boa/5864291121.html,
94,good,2016-11-06 13:49,Nice Seadoo GTX 787cc motor EFI...Low hrs. New seat cover new Seadoo cover.  runs great. No issues comes with nice trailer.. No leaks and No I won't take $2000 so please don't waste your time with low ball offers. Willing to trade for 16ft or bigger fishing boat or  4x4 ATV 450cc or bigger...can add cash if necessary ...Thank you.,,5835248468,10,Seadoo,,GTX 787cc,$2500,power, (Scranton),1998  Seadoo GTX 3 seater,https://scranton.craigslist.org/boa/5835248468.html,1998
95,,2016-11-06 12:43,"12ft aluminum boat with 9.9 johnson motor,trailer and trolling motor. Runs great on the river.",,5863994100,12,,"https://maps.google.com/maps/preview/@41.319700,-75.854100,16z",,$1075,power," (Wyoming,pa)",12ft boat w/motor,https://scranton.craigslist.org/boa/5863994100.html,
96,like new,2016-11-06 11:57,"1988 sunbird spl 170 17ft. has 88 hp evinrude, runs excellent.  new water pump, thermostats , starter, carbs just done. brand new bow mount 55lb. thrust remote control trolling motor paid 750.00, new seats, n some reupolstered. some extras.",,5863925456,17,sunbird,"https://maps.google.com/maps/preview/@41.079000,-75.771500,16z",spl170,$3000,power, (Bear creek),ski/fish boat,https://scranton.craigslist.org/boa/5863925456.html,1988
97,,2016-11-06 07:26,Nice condition Yamaha LX 1990. Needs battery and tune up but does run! Clean condition with some TLC good running Skii. $650.takes it Title in hand   No trailer included!great deal,,5840772119,6,,"https://maps.google.com/maps/preview/@41.579200,-75.252800,16z",,$650,power, (Honesdale),1990 Yamaha lx 650 Jetskii,https://scranton.craigslist.org/boa/5840772119.html,
98,,2016-11-06 06:50,"1989 Bayliner Capri, 19', 2.3 L Ford, I/O, new floor, some seats have been reupholstered. Runs and floats, needs a tune up and to be finished inside. No more time. $1500 obo",,5863593670,19,,"https://maps.google.com/maps/preview/@41.834000,-75.534200,16z",,$1500,power, (Thompson),1989 Bayliner Capri 19',https://scranton.craigslist.org/boa/5863593670.html,
99,good,2016-11-05 22:31,"1961 CustomCraft Searay skiboat with Trailer 55 HP engine 14Ft fiberglass 1978 16Ft. Snoco Tilt trailer Salt water/ Fresh Water It's a Tri hull Chrysler Engine Short shaft 1,400 ...offers accepted",,5863364327,14,Custom Craft,"https://maps.google.com/maps/preview/@40.904400,-76.790800,16z",skiboat,$1400,power, (Northumberland Pa),1961 CustomCraft Searay Ski Boat,https://scranton.craigslist.org/boa/5863364327.html,1961
100,excellent,2016-11-05 14:36,"Very nice boat, have titles in hand, must sell, motors brand new battery, have everything you would need!",,5862766836,12,,"https://maps.google.com/maps/preview/@41.574400,-75.588100,16z",,$800,power,,Very nice 12ft boat,https://scranton.craigslist.org/boa/5862766836.html,
101,excellent,2016-11-04 20:11,2005 Evinrude ETEC 225 H.O. Minnkota trolling motor 24u/80lb Low ranch Electronics HDS 7 334c Both GPS Hydraulic Jackplate HotFoot/JackPlate/Tilt Trim on Wheel ( tilt wheel) 3 Bank charger Extra Prop (new),,5861742919,20,Puma/Basscat,,,$19999,power, (Larksville),2006 Basscat Puma 20',https://scranton.craigslist.org/boa/5861742919.html,2006
102,,2016-11-04 13:16,"Selling my 17' Wellcraft boat and trailer.  Has a 115 Mercury outboard that is seized from sitting.  Overall, boat is in fair condition and have seen motors for sale for about 500 to 800 dollars. Nice winter project to enjoy next summer. Asking 1500, but reasonable offers will be considered. Thanks for looking",,5840858377,17,,"https://maps.google.com/maps/preview/@41.462300,-75.624300,16z",,$1500,power, (Dickson City),17' Wellcraft open bow boat and trailer,https://scranton.craigslist.org/boa/5840858377.html,
103,excellent,2016-11-04 10:19,"2010 Ranger bass boat 175 HP Yamaha HPDI. Minn Kota Maxxum 24V 80 lb. thrust Meds check -- no codes -- 59.4 hrs. Included is the following -- 11 rods & reels / 9 bait casting 2 spinning. Large tackle soft pack, numerous & various hard and soft baits,hard tackle box for spinner & buzz baits,fishing line, life jackets,throw cushion ,bumpers,etc. On board 3 bank charger,remote oil fill,keel protector,boarding ladder.Ranger travel cover and a storage cover.Plus various other items.",59,5860693376,19,Ranger  Comanche,"https://maps.google.com/maps/preview/@40.191900,-75.665300,16z",188VX,$25000,power, (Pottstown  PA),Ranger bass boat,https://scranton.craigslist.org/boa/5860693376.html,2010
104,,2016-11-04 08:36,"Echo Rowing Shell in Reddish Orange with Carbon 9'6"" Hatchet Blade Oars. It was used about three times and has been stored inside our house for the duration of ownership. It is in great shape and does not have any defects that I can discern. Here are the exact details of the boat! http://www.echorowing.com/echo.htm Cash or certified bank check! This boat with carbon oars retails for $4,775 plus tax and shipping.",,5840335894,18,,"https://maps.google.com/maps/preview/@41.789617,-75.587311,16z",,$1,human," (Herrick Center, PA)",Echo Rowing Shell + Oars LIKE NEW,https://scranton.craigslist.org/boa/5840335894.html,
